,year,cubic
0,1976,1
1,1977,0
2,1978,0
3,1979,0
4,1980,0
5,1981,1
6,1982,0
7,1983,0
8,1984,0
9,1985,1
10,1986,1
11,1987,0
12,1988,0
13,1989,1
14,1990,2
15,1991,0
16,1992,1
17,1993,0
18,1994,3
19,1995,4
20,1996,0
21,1997,3
22,1998,3
23,1999,1
24,2000,3
25,2001,8
26,2002,17
27,2003,10
28,2004,8
29,2005,5
30,2006,11
31,2007,5
32,2008,5
33,2009,8
34,2010,9
35,2011,14
36,2012,22
37,2013,49
38,2014,52
39,2015,46
40,2016,49
41,2017,44
42,2018,43
43,2019,49
44,2020,52
45,2021,61
