,year,chemical etching,photochemical blanking,electroforming stamping,plasma etching,ultrasonic machining,water jet cutting,electrical discharge machining,electron beam machining,3D printing,bioprinting,replica molding,biofabrication,freeze casting,microfabrication,electrospinning,allograft
0,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
21,1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
22,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
23,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
24,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25,2001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26
26,2002,2,0,0,1,0,0,7,0,0,0,0,0,0,1,0,26
27,2003,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,29
28,2004,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,23
29,2005,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,32
30,2006,2,0,0,0,0,3,5,0,0,0,0,0,0,0,1,48
31,2007,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,30
32,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21
33,2009,5,0,0,2,0,1,0,0,0,0,0,0,0,4,3,52
34,2010,8,0,0,3,0,1,0,0,0,0,1,0,0,2,3,82
35,2011,16,0,0,0,0,0,0,0,0,0,0,1,0,5,5,78
36,2012,19,0,0,4,2,0,2,0,0,1,1,2,0,2,4,107
37,2013,33,0,0,21,4,1,3,0,0,1,1,2,0,7,14,155
38,2014,23,0,0,13,6,0,4,0,0,3,1,3,0,4,23,169
39,2015,22,0,0,7,1,0,7,0,0,4,1,1,1,5,16,166
40,2016,13,0,0,11,0,1,0,0,0,6,0,1,0,7,29,187
41,2017,14,0,0,7,0,1,6,0,0,4,1,7,0,7,29,167
42,2018,13,1,0,5,1,1,4,1,0,9,1,12,1,13,38,130
43,2019,9,0,0,9,0,0,5,0,0,11,2,17,0,11,45,179
44,2020,22,1,0,6,1,1,4,1,0,18,1,19,1,9,34,165
45,2021,11,0,0,7,0,1,3,0,0,26,2,29,0,13,38,152
