,year,migration,proliferation,differentiation,taxis,metatasis,osteogenic
0,1976,2,1,0,0,0,1
1,1977,0,0,0,0,0,0
2,1978,0,0,0,0,0,0
3,1979,0,0,0,0,0,0
4,1980,0,0,0,0,0,0
5,1981,1,0,0,0,0,0
6,1982,0,0,0,0,0,0
7,1983,0,0,0,0,0,0
8,1984,1,2,1,0,0,2
9,1985,0,0,0,0,0,1
10,1986,1,2,0,0,0,1
11,1987,2,2,1,0,0,1
12,1988,1,0,1,0,0,0
13,1989,5,2,0,0,0,2
14,1990,1,0,1,0,0,0
15,1991,5,2,1,1,0,2
16,1992,6,1,2,0,0,3
17,1993,3,4,4,1,0,6
18,1994,4,2,3,1,0,8
19,1995,3,4,3,0,0,11
20,1996,5,5,3,0,0,7
21,1997,5,9,8,2,0,14
22,1998,21,17,17,4,0,21
23,1999,20,20,21,7,0,27
24,2000,26,17,17,3,0,25
25,2001,33,30,30,6,0,35
26,2002,36,28,26,5,0,24
27,2003,25,24,23,2,0,27
28,2004,19,20,27,5,0,26
29,2005,23,34,31,3,0,37
30,2006,40,35,48,14,0,44
31,2007,28,30,27,4,0,37
32,2008,22,25,25,5,0,23
33,2009,50,41,39,4,0,44
34,2010,80,54,57,8,0,70
35,2011,102,97,76,7,0,79
36,2012,112,87,89,9,0,96
37,2013,185,146,152,10,0,124
38,2014,194,164,170,23,0,147
39,2015,154,157,176,15,0,141
40,2016,168,150,184,22,0,144
41,2017,172,169,182,17,0,143
42,2018,127,137,152,18,0,118
43,2019,212,217,230,23,0,140
44,2020,174,206,214,18,0,141
45,2021,200,227,228,23,0,148
