,patent_num,patent_year,file_year,chemical etching,photochemical blanking,electroforming stamping,plasma etching,ultrasonic machining,water jet cutting,electrical discharge machining,electron beam machining,3D printing,bioprinting,replica molding,biofabrication,freeze casting,microfabrication,electrospinning,allograft
57,"10,032,269",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"10,034,697",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"10,034,737",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,"10,034,890",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"10,034,945",2018,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,"10,034,961",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
63,"10,034,964",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,"10,034,965",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,"10,035,920",2018,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
66,"10,039,617",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"10,039,619",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"10,039,621",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"10,039,650",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"10,039,672",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"10,039,858",2018,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
72,"10,040,727",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"10,040,821",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,"10,045,687",2018,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"10,045,770",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,"10,045,796",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,"10,045,835",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"10,045,837",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"10,045,839",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"10,045,848",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"10,045,947",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"10,046,012",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"10,046,083",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,"10,046,084",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,"10,046,086",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,"10,046,089",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,"10,046,091",2018,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,"10,048,330",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"10,048,668",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"10,052,091",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"10,052,160",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"10,052,174",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"10,052,176",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"10,052,178",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"10,052,179",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"10,052,186",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"10,052,402",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"10,052,403",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"10,052,404",2018,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"10,052,407",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,"10,052,412",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,"10,053,668",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"10,058,399",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"10,058,412",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"10,058,572",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,"10,058,633",2018,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,"10,058,637",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"10,058,701",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"10,058,889",2018,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"10,059,921",2018,2014,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
111,"10,061,349",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"10,064,654",2018,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113,"10,064,671",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,"10,064,706",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"10,064,707",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"10,064,726",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,"10,064,737",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"10,064,892",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"10,064,948",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"10,064,975",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"10,065,010",2018,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"10,065,055",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"10,065,352",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,"10,068,671",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"10,069,956",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"10,070,214",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"10,070,945",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"10,070,958",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,"10,071,120",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,"10,071,364",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"10,072,042",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"10,072,257",2018,2013,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
133,"10,073,087",2018,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,"10,076,318",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
135,"10,076,416",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"10,076,424",2018,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,"10,076,427",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
138,"10,076,543",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,"10,080,567",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"10,080,627",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"10,080,644",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,"10,080,661",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,"10,080,789",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"10,080,816",2018,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
145,"10,080,818",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,"10,080,819",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,"10,085,772",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,"10,085,804",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"10,085,816",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"10,085,823",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,"10,085,829",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,"10,085,830",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,"10,085,840",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,"10,085,843",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,"10,085,846",2018,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,"10,085,850",2018,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
157,"10,086,044",2018,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,"10,086,052",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,"10,086,079",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
160,"10,086,187",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,"10,087,436",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,"10,089,727",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,"10,090,070",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,"10,092,374",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"10,092,442",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,"10,092,600",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,"10,092,814",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"10,094,821",2018,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169,"10,098,681",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,"10,098,711",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,"10,098,745",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,"10,098,749",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,"10,098,983",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,"10,105,133",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,"10,105,167",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"10,105,169",2018,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
177,"10,105,198",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"10,105,229",2018,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"10,105,232",2018,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,"10,105,233",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"10,105,235",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"10,105,237",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,"10,105,256",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"10,105,257",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,"10,106,591",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"10,106,647",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,"10,111,646",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,"10,111,729",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
