,year,ceramic,metal,polymer,hydrogel,shape memory alloy,rubber,composite,semiconductor,fiber
0,1976,3,9,9,0,0,2,2,0,5
1,1977,4,14,10,0,0,2,3,0,6
2,1978,5,16,14,0,0,2,3,0,8
3,1979,5,17,15,0,0,2,3,0,8
4,1980,8,24,18,0,0,5,4,0,11
5,1981,11,30,21,0,0,8,5,0,13
6,1982,11,32,22,0,0,10,5,0,13
7,1983,11,34,22,0,0,13,6,0,13
8,1984,14,49,28,0,0,14,7,0,17
9,1985,15,51,28,0,0,16,7,0,18
10,1986,20,60,31,0,0,20,10,0,21
11,1987,21,66,35,1,0,22,11,0,23
12,1988,27,74,40,1,0,26,12,0,23
13,1989,34,86,47,2,0,33,15,1,29
14,1990,39,98,54,2,0,38,21,2,32
15,1991,49,120,59,2,0,43,29,2,38
16,1992,62,137,69,2,1,45,34,2,44
17,1993,73,161,81,2,1,53,45,2,50
18,1994,88,184,95,3,2,61,53,2,58
19,1995,104,207,117,4,2,68,63,2,70
20,1996,118,231,135,4,4,74,77,2,81
21,1997,147,287,172,8,5,84,99,2,105
22,1998,176,356,209,13,6,100,128,2,125
23,1999,212,422,253,25,7,113,160,3,145
24,2000,254,497,312,34,9,129,188,3,170
25,2001,313,598,395,52,14,149,229,3,222
26,2002,369,695,484,70,17,163,285,6,277
27,2003,441,798,579,82,21,181,341,8,337
28,2004,488,868,651,91,24,192,381,9,377
29,2005,537,956,730,113,24,208,428,12,429
30,2006,625,1069,833,143,26,237,506,15,510
31,2007,682,1155,908,163,27,261,554,17,556
32,2008,734,1225,973,177,28,280,593,20,591
33,2009,816,1337,1084,202,34,310,657,23,660
34,2010,954,1518,1255,254,49,367,763,31,776
35,2011,1105,1748,1492,316,67,433,888,43,901
36,2012,1300,2029,1779,401,93,505,1037,53,1051
37,2013,1568,2401,2166,524,106,635,1283,77,1296
38,2014,1867,2829,2579,668,123,748,1547,106,1567
39,2015,2153,3215,2968,793,142,865,1792,124,1832
40,2016,2427,3635,3379,935,163,998,2039,146,2092
41,2017,2693,4104,3803,1074,188,1114,2287,166,2377
42,2018,2933,4461,4167,1188,204,1224,2492,188,2600
43,2019,3233,4953,4677,1359,219,1360,2769,225,2900
44,2020,3525,5459,5189,1514,233,1513,3020,267,3172
45,2021,3812,5979,5748,1699,254,1680,3331,321,3501
