,year,migration,proliferation,differentiation,taxis,metatasis,osteogenic
0,1976,2,1,0,0,0,1
1,1977,2,1,0,0,0,1
2,1978,2,1,0,0,0,1
3,1979,2,1,0,0,0,1
4,1980,2,1,0,0,0,1
5,1981,3,1,0,0,0,1
6,1982,3,1,0,0,0,1
7,1983,3,1,0,0,0,1
8,1984,4,3,1,0,0,3
9,1985,4,3,1,0,0,4
10,1986,5,5,1,0,0,5
11,1987,7,7,2,0,0,6
12,1988,8,7,3,0,0,6
13,1989,13,9,3,0,0,8
14,1990,14,9,4,0,0,8
15,1991,19,11,5,1,0,10
16,1992,25,12,7,1,0,13
17,1993,28,16,11,2,0,19
18,1994,32,18,14,3,0,27
19,1995,35,22,17,3,0,38
20,1996,40,27,20,3,0,45
21,1997,45,36,28,5,0,59
22,1998,66,53,45,9,0,80
23,1999,86,73,66,16,0,107
24,2000,112,90,83,19,0,132
25,2001,145,120,113,25,0,167
26,2002,181,148,139,30,0,191
27,2003,206,172,162,32,0,218
28,2004,225,192,189,37,0,244
29,2005,248,226,220,40,0,281
30,2006,288,261,268,54,0,325
31,2007,316,291,295,58,0,362
32,2008,338,316,320,63,0,385
33,2009,388,357,359,67,0,429
34,2010,468,411,416,75,0,499
35,2011,570,508,492,82,0,578
36,2012,682,595,581,91,0,674
37,2013,867,741,733,101,0,798
38,2014,1061,905,903,124,0,945
39,2015,1215,1062,1079,139,0,1086
40,2016,1383,1212,1263,161,0,1230
41,2017,1555,1381,1445,178,0,1373
42,2018,1682,1518,1597,196,0,1491
43,2019,1894,1735,1827,219,0,1631
44,2020,2068,1941,2041,237,0,1772
45,2021,2268,2168,2269,260,0,1920
