,year,stress,strain,thermal,piezoelectric,elastic modulus,elasticity,degradation,bioresorption 
0,1976,9,1,1,0,0,1,3,0
1,1977,10,1,2,0,0,1,4,0
2,1978,14,2,2,0,0,1,7,0
3,1979,14,2,2,0,0,1,7,0
4,1980,17,2,2,0,0,3,7,0
5,1981,20,2,2,0,0,4,7,0
6,1982,21,2,2,0,0,4,7,0
7,1983,22,2,2,0,0,4,7,0
8,1984,28,4,4,0,0,5,7,0
9,1985,34,5,4,0,0,6,7,0
10,1986,38,9,6,1,0,7,8,0
11,1987,43,10,7,1,0,10,9,0
12,1988,45,12,9,1,0,10,10,0
13,1989,53,19,12,3,0,13,12,0
14,1990,66,26,14,3,2,17,15,0
15,1991,77,32,18,3,2,19,17,0
16,1992,90,38,23,4,3,20,20,0
17,1993,103,44,29,7,3,26,23,0
18,1994,121,53,34,8,5,29,30,0
19,1995,135,64,41,10,6,31,40,1
20,1996,154,75,44,12,7,35,49,1
21,1997,178,86,55,12,9,38,68,1
22,1998,215,105,70,12,14,47,94,1
23,1999,257,141,82,14,16,58,118,1
24,2000,301,175,97,15,19,72,147,2
25,2001,359,214,134,19,22,97,188,4
26,2002,413,263,171,24,26,122,234,5
27,2003,470,308,209,33,30,142,274,6
28,2004,521,348,235,37,33,154,303,6
29,2005,570,386,268,39,40,171,346,8
30,2006,635,442,309,44,47,199,388,10
31,2007,682,483,336,45,51,213,426,13
32,2008,728,521,364,50,57,228,456,16
33,2009,804,602,405,61,60,250,491,22
34,2010,920,703,470,80,72,280,555,24
35,2011,1055,827,551,101,90,322,641,30
36,2012,1232,977,649,123,105,393,744,39
37,2013,1467,1189,786,170,135,475,899,62
38,2014,1735,1432,965,220,174,583,1080,83
39,2015,2009,1652,1115,257,209,703,1230,91
40,2016,2298,1887,1288,294,245,836,1412,94
41,2017,2589,2135,1464,329,278,952,1607,96
42,2018,2828,2367,1597,365,321,1060,1769,98
43,2019,3161,2652,1793,409,362,1181,1989,101
44,2020,3508,2963,1993,432,420,1323,2216,105
45,2021,3895,3295,2215,481,479,1466,2472,108
