,year,in vitro,in vivo,in silico,animal study,clinical trial,cell model,animal model,large animal 
0,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1984,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
9,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1986,0.2,0.4,0.2,0.0,0.0,0.0,0.2,0.0
11,1987,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0
12,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,1989,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
14,1990,0.3333333333333333,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.0,0.0
15,1991,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0
16,1992,0.35294117647058826,0.29411764705882354,0.0,0.0,0.17647058823529413,0.0,0.17647058823529413,0.0
17,1993,0.26666666666666666,0.5333333333333333,0.0,0.0,0.0,0.0,0.2,0.0
18,1994,0.21052631578947367,0.631578947368421,0.0,0.05263157894736842,0.0,0.0,0.10526315789473684,0.0
19,1995,0.32142857142857145,0.4642857142857143,0.0,0.0,0.03571428571428571,0.0,0.17857142857142858,0.0
20,1996,0.3181818181818182,0.36363636363636365,0.0,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.0
21,1997,0.44,0.48,0.0,0.0,0.02,0.0,0.06,0.0
22,1998,0.29577464788732394,0.352112676056338,0.0,0.014084507042253521,0.14084507042253522,0.0,0.18309859154929578,0.014084507042253521
23,1999,0.4189189189189189,0.35135135135135137,0.0,0.02702702702702703,0.05405405405405406,0.0,0.12162162162162163,0.02702702702702703
24,2000,0.3625,0.4375,0.0,0.025,0.0375,0.0,0.1125,0.025
25,2001,0.3389830508474576,0.4576271186440678,0.0,0.00847457627118644,0.03389830508474576,0.0,0.1440677966101695,0.01694915254237288
26,2002,0.4017094017094017,0.4358974358974359,0.008547008547008548,0.0,0.042735042735042736,0.0,0.10256410256410256,0.008547008547008548
27,2003,0.411214953271028,0.4485981308411215,0.009345794392523364,0.018691588785046728,0.028037383177570093,0.0,0.07476635514018691,0.009345794392523364
28,2004,0.36470588235294116,0.43529411764705883,0.0,0.0,0.07058823529411765,0.0,0.12941176470588237,0.0
29,2005,0.3951612903225806,0.43548387096774194,0.008064516129032258,0.024193548387096774,0.03225806451612903,0.0,0.08870967741935484,0.016129032258064516
30,2006,0.3624161073825503,0.3959731543624161,0.0,0.006711409395973154,0.053691275167785234,0.0,0.15436241610738255,0.026845637583892617
31,2007,0.30612244897959184,0.4897959183673469,0.01020408163265306,0.01020408163265306,0.05102040816326531,0.01020408163265306,0.12244897959183673,0.0
32,2008,0.3956043956043956,0.4065934065934066,0.01098901098901099,0.01098901098901099,0.04395604395604396,0.01098901098901099,0.10989010989010989,0.01098901098901099
33,2009,0.3724137931034483,0.45517241379310347,0.006896551724137931,0.013793103448275862,0.041379310344827586,0.0,0.10344827586206896,0.006896551724137931
34,2010,0.30952380952380953,0.4523809523809524,0.03333333333333333,0.014285714285714285,0.06190476190476191,0.0,0.12857142857142856,0.0
35,2011,0.3582089552238806,0.417910447761194,0.022388059701492536,0.022388059701492536,0.05970149253731343,0.0,0.11194029850746269,0.007462686567164179
36,2012,0.3242424242424242,0.44242424242424244,0.015151515151515152,0.015151515151515152,0.11515151515151516,0.0030303030303030303,0.08484848484848485,0.0
37,2013,0.33001988071570576,0.38767395626242546,0.06958250497017893,0.02186878727634195,0.09741550695825049,0.02186878727634195,0.06560636182902585,0.005964214711729622
38,2014,0.33277591973244147,0.4080267558528428,0.051839464882943144,0.015050167224080268,0.0802675585284281,0.0,0.10535117056856187,0.006688963210702341
39,2015,0.3465909090909091,0.4109848484848485,0.03787878787878788,0.02462121212121212,0.08333333333333333,0.005681818181818182,0.08712121212121213,0.003787878787878788
40,2016,0.3395872420262664,0.4371482176360225,0.020637898686679174,0.013133208255159476,0.07129455909943715,0.001876172607879925,0.1125703564727955,0.00375234521575985
41,2017,0.3438077634011091,0.41035120147874304,0.022181146025878003,0.022181146025878003,0.06839186691312385,0.0073937153419593345,0.11460258780036968,0.011090573012939002
42,2018,0.3522012578616352,0.3941299790356394,0.006289308176100629,0.010482180293501049,0.09224318658280922,0.008385744234800839,0.12159329140461216,0.014675052410901468
43,2019,0.3702127659574468,0.3943262411347518,0.014184397163120567,0.009929078014184398,0.06808510638297872,0.0070921985815602835,0.12907801418439716,0.0070921985815602835
44,2020,0.37101063829787234,0.3949468085106383,0.026595744680851064,0.013297872340425532,0.06515957446808511,0.006648936170212766,0.10904255319148937,0.013297872340425532
45,2021,0.3531468531468531,0.372960372960373,0.03496503496503497,0.008158508158508158,0.09324009324009325,0.008158508158508158,0.11888111888111888,0.01048951048951049
