,year,macro,micro,nano,unit cell
0,1976,0.06666666666666667,0.4666666666666667,0.0,0.0
1,1977,0.2,0.4,0.0,0.0
2,1978,0.0,0.5,0.0,0.0
3,1979,0.0,0.5,0.0,0.0
4,1980,0.0,0.5,0.0,0.0
5,1981,0.0,0.5,0.0,0.0
6,1982,0.3333333333333333,0.3333333333333333,0.0,0.0
7,1983,0.0,0.0,0.0,0.0
8,1984,0.14285714285714285,0.42857142857142855,0.0,0.0
9,1985,0.0,0.5,0.0,0.0
10,1986,0.0,0.5,0.0,0.0
11,1987,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0
12,1988,0.0,0.5,0.0,0.0
13,1989,0.09523809523809523,0.42857142857142855,0.047619047619047616,0.0
14,1990,0.0625,0.4375,0.0625,0.0
15,1991,0.06666666666666667,0.43333333333333335,0.06666666666666667,0.0
16,1992,0.16666666666666666,0.3888888888888889,0.05555555555555555,0.0
17,1993,0.07894736842105263,0.4473684210526316,0.0,0.02631578947368421
18,1994,0.1111111111111111,0.42592592592592593,0.037037037037037035,0.0
19,1995,0.1111111111111111,0.42592592592592593,0.037037037037037035,0.0
20,1996,0.14545454545454545,0.41818181818181815,0.01818181818181818,0.0
21,1997,0.16666666666666666,0.3958333333333333,0.041666666666666664,0.0
22,1998,0.16083916083916083,0.3986013986013986,0.04195804195804196,0.0
23,1999,0.16216216216216217,0.38513513513513514,0.06756756756756757,0.0
24,2000,0.18674698795180722,0.3855421686746988,0.04216867469879518,0.0
25,2001,0.18490566037735848,0.37735849056603776,0.05660377358490566,0.0037735849056603774
26,2002,0.19305019305019305,0.3667953667953668,0.07335907335907337,0.0
27,2003,0.1522633744855967,0.38271604938271603,0.07818930041152264,0.00411522633744856
28,2004,0.14444444444444443,0.37777777777777777,0.1,0.0
29,2005,0.17592592592592593,0.36574074074074076,0.08796296296296297,0.004629629629629629
30,2006,0.16451612903225807,0.3580645161290323,0.11935483870967742,0.0
31,2007,0.17467248908296942,0.34497816593886466,0.12663755458515283,0.008733624454148471
32,2008,0.17142857142857143,0.35714285714285715,0.10476190476190476,0.009523809523809525
33,2009,0.17549668874172186,0.34105960264900664,0.12582781456953643,0.016556291390728478
34,2010,0.15296367112810708,0.35564053537284895,0.12810707456978968,0.0076481835564053535
35,2011,0.17014446227929375,0.34991974317817015,0.12680577849117175,0.0032102728731942215
36,2012,0.17098445595854922,0.34585492227979275,0.13601036269430053,0.0012953367875647669
37,2013,0.1793103448275862,0.34088669950738915,0.13694581280788176,0.0019704433497536944
38,2014,0.17303005686433795,0.3314378554021121,0.15922014622258326,0.00487408610885459
39,2015,0.1633535004321521,0.3353500432152118,0.15903197925669835,0.006914433880726016
40,2016,0.1750619322873658,0.32865400495458297,0.1635012386457473,0.004128819157720892
41,2017,0.15469613259668508,0.3307024467245462,0.17916337805840568,0.004735595895816891
42,2018,0.15605381165919283,0.3381165919282511,0.16322869955156952,0.004484304932735426
43,2019,0.15281329923273657,0.33184143222506396,0.1815856777493606,0.0019181585677749361
44,2020,0.16376089663760895,0.33872976338729766,0.15504358655043587,0.0037359900373599006
45,2021,0.16176470588235295,0.3273420479302832,0.1770152505446623,0.006535947712418301
