,year,cubic
0,1976,1.0
1,1977,0.0
2,1978,0.0
3,1979,0.0
4,1980,0.0
5,1981,1.0
6,1982,0.0
7,1983,0.0
8,1984,0.0
9,1985,1.0
10,1986,1.0
11,1987,0.0
12,1988,0.0
13,1989,1.0
14,1990,1.0
15,1991,0.0
16,1992,1.0
17,1993,0.0
18,1994,1.0
19,1995,1.0
20,1996,0.0
21,1997,1.0
22,1998,1.0
23,1999,1.0
24,2000,1.0
25,2001,1.0
26,2002,1.0
27,2003,1.0
28,2004,1.0
29,2005,1.0
30,2006,1.0
31,2007,1.0
32,2008,1.0
33,2009,1.0
34,2010,1.0
35,2011,1.0
36,2012,1.0
37,2013,1.0
38,2014,1.0
39,2015,1.0
40,2016,1.0
41,2017,1.0
42,2018,1.0
43,2019,1.0
44,2020,1.0
45,2021,1.0
