,year,ceramic,metal,polymer,hydrogel,shape memory alloy,rubber,composite,semiconductor,fiber
0,1976,0.1,0.3,0.3,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.16666666666666666
1,1977,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111
2,1978,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
3,1979,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.15,0.35,0.15,0.0,0.0,0.15,0.05,0.0,0.15
5,1981,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.1111111111111111
6,1982,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0
7,1983,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0
8,1984,0.1,0.5,0.2,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.13333333333333333
9,1985,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666
10,1986,0.18518518518518517,0.3333333333333333,0.1111111111111111,0.0,0.0,0.14814814814814814,0.1111111111111111,0.0,0.1111111111111111
11,1987,0.058823529411764705,0.35294117647058826,0.23529411764705882,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.0,0.11764705882352941
12,1988,0.25,0.3333333333333333,0.20833333333333334,0.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.0
13,1989,0.1590909090909091,0.2727272727272727,0.1590909090909091,0.022727272727272728,0.0,0.1590909090909091,0.06818181818181818,0.022727272727272728,0.13636363636363635
14,1990,0.1282051282051282,0.3076923076923077,0.1794871794871795,0.0,0.0,0.1282051282051282,0.15384615384615385,0.02564102564102564,0.07692307692307693
15,1991,0.17857142857142858,0.39285714285714285,0.08928571428571429,0.0,0.0,0.08928571428571429,0.14285714285714285,0.0,0.10714285714285714
16,1992,0.24074074074074073,0.3148148148148148,0.18518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.09259259259259259,0.0,0.1111111111111111
17,1993,0.1527777777777778,0.3333333333333333,0.16666666666666666,0.0,0.0,0.1111111111111111,0.1527777777777778,0.0,0.08333333333333333
18,1994,0.19230769230769232,0.2948717948717949,0.1794871794871795,0.01282051282051282,0.01282051282051282,0.10256410256410256,0.10256410256410256,0.0,0.10256410256410256
19,1995,0.17582417582417584,0.25274725274725274,0.24175824175824176,0.01098901098901099,0.0,0.07692307692307693,0.10989010989010989,0.0,0.13186813186813187
20,1996,0.15730337078651685,0.2696629213483146,0.20224719101123595,0.0,0.02247191011235955,0.06741573033707865,0.15730337078651685,0.0,0.12359550561797752
21,1997,0.15846994535519127,0.30601092896174864,0.20218579234972678,0.02185792349726776,0.00546448087431694,0.0546448087431694,0.12021857923497267,0.0,0.13114754098360656
22,1998,0.1407766990291262,0.33495145631067963,0.1796116504854369,0.024271844660194174,0.0048543689320388345,0.07766990291262135,0.1407766990291262,0.0,0.0970873786407767
23,1999,0.16,0.29333333333333333,0.19555555555555557,0.05333333333333334,0.0044444444444444444,0.057777777777777775,0.14222222222222222,0.0044444444444444444,0.08888888888888889
24,2000,0.1640625,0.29296875,0.23046875,0.03515625,0.0078125,0.0625,0.109375,0.0,0.09765625
25,2001,0.15567282321899736,0.26649076517150394,0.21899736147757257,0.047493403693931395,0.013192612137203167,0.052770448548812667,0.10817941952506596,0.0,0.13720316622691292
26,2002,0.1432225063938619,0.24808184143222506,0.22762148337595908,0.04603580562659847,0.0076726342710997444,0.03580562659846547,0.1432225063938619,0.0076726342710997444,0.14066496163682865
27,2003,0.17061611374407584,0.24407582938388625,0.22511848341232227,0.02843601895734597,0.009478672985781991,0.04265402843601896,0.13270142180094788,0.004739336492890996,0.14218009478672985
28,2004,0.16040955631399317,0.23890784982935154,0.24573378839590443,0.030716723549488054,0.010238907849829351,0.03754266211604096,0.13651877133105803,0.0034129692832764505,0.13651877133105803
29,2005,0.13764044943820225,0.24719101123595505,0.22191011235955055,0.06179775280898876,0.0,0.0449438202247191,0.13202247191011235,0.008426966292134831,0.14606741573033707
30,2006,0.16698292220113853,0.2144212523719165,0.1954459203036053,0.056925996204933584,0.003795066413662239,0.05502846299810247,0.14800759013282733,0.0056925996204933585,0.15370018975332067
31,2007,0.15877437325905291,0.2395543175487465,0.20891364902506965,0.055710306406685235,0.002785515320334262,0.06685236768802229,0.13370473537604458,0.005571030640668524,0.12813370473537605
