,year,orthodontic bracket,tooth,implant,device,scaffold,bridge 
0,1976,0.0,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.0,0.10714285714285714
1,1977,0.0,0.375,0.25,0.1875,0.0,0.1875
2,1978,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
3,1979,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666
4,1980,0.037037037037037035,0.2962962962962963,0.2222222222222222,0.3333333333333333,0.0,0.1111111111111111
5,1981,0.0,0.4,0.2,0.3,0.0,0.1
6,1982,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285
7,1983,0.2,0.4,0.0,0.3,0.0,0.1
8,1984,0.0,0.23809523809523808,0.21428571428571427,0.42857142857142855,0.0,0.11904761904761904
9,1985,0.0,0.19047619047619047,0.38095238095238093,0.38095238095238093,0.0,0.047619047619047616
10,1986,0.05714285714285714,0.34285714285714286,0.2,0.34285714285714286,0.02857142857142857,0.02857142857142857
11,1987,0.0,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.0,0.09090909090909091
12,1988,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111
13,1989,0.02,0.3,0.3,0.32,0.0,0.06
14,1990,0.0,0.16666666666666666,0.2962962962962963,0.4074074074074074,0.0,0.12962962962962962
15,1991,0.0,0.3132530120481928,0.3253012048192771,0.27710843373493976,0.012048192771084338,0.07228915662650602
16,1992,0.014705882352941176,0.23529411764705882,0.29411764705882354,0.3088235294117647,0.029411764705882353,0.11764705882352941
17,1993,0.021505376344086023,0.25806451612903225,0.34408602150537637,0.24731182795698925,0.021505376344086023,0.10752688172043011
18,1994,0.00909090909090909,0.2545454545454545,0.3090909090909091,0.2636363636363636,0.06363636363636363,0.1
19,1995,0.03571428571428571,0.22321428571428573,0.32142857142857145,0.2767857142857143,0.08035714285714286,0.0625
20,1996,0.018518518518518517,0.21296296296296297,0.35185185185185186,0.2962962962962963,0.018518518518518517,0.10185185185185185
21,1997,0.015384615384615385,0.1794871794871795,0.3230769230769231,0.3384615384615385,0.08205128205128205,0.06153846153846154
22,1998,0.00851063829787234,0.19574468085106383,0.3276595744680851,0.32340425531914896,0.07234042553191489,0.07234042553191489
23,1999,0.0072992700729927005,0.2116788321167883,0.3284671532846715,0.2773722627737226,0.08759124087591241,0.08759124087591241
24,2000,0.010676156583629894,0.17793594306049823,0.3167259786476868,0.3096085409252669,0.08896797153024912,0.09608540925266904
25,2001,0.0025974025974025974,0.21038961038961038,0.32727272727272727,0.2571428571428571,0.10909090909090909,0.09350649350649351
26,2002,0.008955223880597015,0.14328358208955225,0.3492537313432836,0.29850746268656714,0.12238805970149254,0.07761194029850746
27,2003,0.011111111111111112,0.15555555555555556,0.3388888888888889,0.30277777777777776,0.08888888888888889,0.10277777777777777
28,2004,0.01171875,0.16015625,0.328125,0.28515625,0.12890625,0.0859375
29,2005,0.016233766233766232,0.1461038961038961,0.3246753246753247,0.2792207792207792,0.14285714285714285,0.09090909090909091
30,2006,0.02304147465437788,0.16359447004608296,0.3248847926267281,0.29723502304147464,0.1152073732718894,0.07603686635944701
31,2007,0.015384615384615385,0.15076923076923077,0.32,0.28,0.12615384615384614,0.1076923076923077
32,2008,0.015625,0.1796875,0.31640625,0.30859375,0.1171875,0.0625
33,2009,0.005194805194805195,0.11688311688311688,0.35064935064935066,0.3142857142857143,0.13766233766233765,0.07532467532467532
34,2010,0.0061162079510703364,0.13608562691131498,0.3211009174311927,0.3180428134556575,0.13761467889908258,0.08103975535168195
35,2011,0.0062266500622665,0.11457036114570361,0.33250311332503113,0.32627646326276466,0.12826899128268993,0.0921544209215442
36,2012,0.006647673314339981,0.1339031339031339,0.3200379867046534,0.31339031339031337,0.13770180436847104,0.08831908831908832
37,2013,0.006405693950177936,0.12384341637010676,0.32455516014234875,0.3209964412811388,0.1409252669039146,0.08327402135231317
38,2014,0.0018867924528301887,0.1371069182389937,0.3213836477987421,0.31383647798742137,0.1440251572327044,0.08176100628930817
39,2015,0.0056657223796034,0.12322946175637393,0.3307365439093484,0.3038243626062323,0.16288951841359772,0.07365439093484419
40,2016,0.004530744336569579,0.10744336569579288,0.3294498381877023,0.3255663430420712,0.1488673139158576,0.08414239482200647
41,2017,0.006836544437538844,0.13610938471100062,0.307644499689248,0.3132380360472343,0.15040397762585456,0.08576755748912368
42,2018,0.009279086366880799,0.14132762312633834,0.3076374018558173,0.32548179871520344,0.13561741613133477,0.08065667380442541
43,2019,0.007646095030038231,0.13216821409066085,0.312397596941562,0.3113052976515565,0.1370835608956854,0.099399235390497
44,2020,0.00890518596123625,0.13986380303823992,0.3038239916186485,0.3106338397066527,0.14248297537978,0.09429020429544265
45,2021,0.00533462657613967,0.15373423860329777,0.2880698351115422,0.3181377303588749,0.13433559650824442,0.10038797284190107
