,year,migration,proliferation,differentiation,taxis,metatasis,osteogenic
0,1976,0.5,0.25,0.0,0.0,0.0,0.25
1,1977,0.0,0.0,0.0,0.0,0.0,0.0
2,1978,0.0,0.0,0.0,0.0,0.0,0.0
3,1979,0.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.0,0.0,0.0,0.0,0.0,0.0
5,1981,1.0,0.0,0.0,0.0,0.0,0.0
6,1982,0.0,0.0,0.0,0.0,0.0,0.0
7,1983,0.0,0.0,0.0,0.0,0.0,0.0
8,1984,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333
9,1985,0.0,0.0,0.0,0.0,0.0,1.0
10,1986,0.25,0.5,0.0,0.0,0.0,0.25
11,1987,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666
12,1988,0.5,0.0,0.5,0.0,0.0,0.0
13,1989,0.5555555555555556,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222
14,1990,0.5,0.0,0.5,0.0,0.0,0.0
15,1991,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182
16,1992,0.5,0.08333333333333333,0.16666666666666666,0.0,0.0,0.25
17,1993,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.0,0.3333333333333333
18,1994,0.2222222222222222,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.0,0.4444444444444444
19,1995,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.0,0.0,0.5238095238095238
20,1996,0.25,0.25,0.15,0.0,0.0,0.35
21,1997,0.13157894736842105,0.23684210526315788,0.21052631578947367,0.05263157894736842,0.0,0.3684210526315789
22,1998,0.2625,0.2125,0.2125,0.05,0.0,0.2625
23,1999,0.21052631578947367,0.21052631578947367,0.22105263157894736,0.07368421052631578,0.0,0.28421052631578947
24,2000,0.29545454545454547,0.19318181818181818,0.19318181818181818,0.03409090909090909,0.0,0.2840909090909091
25,2001,0.2462686567164179,0.22388059701492538,0.22388059701492538,0.04477611940298507,0.0,0.26119402985074625
26,2002,0.3025210084033613,0.23529411764705882,0.2184873949579832,0.04201680672268908,0.0,0.20168067226890757
27,2003,0.24752475247524752,0.2376237623762376,0.22772277227722773,0.019801980198019802,0.0,0.26732673267326734
28,2004,0.1958762886597938,0.20618556701030927,0.27835051546391754,0.05154639175257732,0.0,0.26804123711340205
29,2005,0.1796875,0.265625,0.2421875,0.0234375,0.0,0.2890625
30,2006,0.22099447513812154,0.19337016574585636,0.26519337016574585,0.07734806629834254,0.0,0.2430939226519337
31,2007,0.2222222222222222,0.23809523809523808,0.21428571428571427,0.031746031746031744,0.0,0.29365079365079366
32,2008,0.22,0.25,0.25,0.05,0.0,0.23
33,2009,0.2808988764044944,0.2303370786516854,0.21910112359550563,0.02247191011235955,0.0,0.24719101123595505
34,2010,0.29739776951672864,0.20074349442379183,0.21189591078066913,0.02973977695167286,0.0,0.26022304832713755
35,2011,0.28254847645429365,0.26869806094182824,0.21052631578947367,0.019390581717451522,0.0,0.2188365650969529
36,2012,0.28498727735368956,0.22137404580152673,0.22646310432569974,0.022900763358778626,0.0,0.24427480916030533
37,2013,0.29983792544570503,0.2366288492706645,0.24635332252836303,0.01620745542949757,0.0,0.20097244732576985
38,2014,0.27793696275071633,0.2349570200573066,0.24355300859598855,0.0329512893982808,0.0,0.21060171919770773
39,2015,0.23950233281493002,0.24416796267496113,0.2737169517884914,0.02332814930015552,0.0,0.2192846034214619
40,2016,0.25149700598802394,0.2245508982035928,0.2754491017964072,0.03293413173652695,0.0,0.2155688622754491
41,2017,0.2518301610541728,0.24743777452415813,0.2664714494875549,0.024890190336749635,0.0,0.20937042459736457
42,2018,0.23007246376811594,0.24818840579710144,0.2753623188405797,0.03260869565217391,0.0,0.213768115942029
43,2019,0.25790754257907544,0.2639902676399027,0.2798053527980535,0.027980535279805353,0.0,0.170316301703163
44,2020,0.23107569721115537,0.2735723771580345,0.28419654714475434,0.02390438247011952,0.0,0.18725099601593626
45,2021,0.24213075060532688,0.274818401937046,0.27602905569007263,0.02784503631961259,0.0,0.1791767554479419
