,year,bone,liver,cardiac,microcapillary,nerve,capillary
0,1976,0.5,0.18181818181818182,0.0,0.0,0.22727272727272727,0.09090909090909091
1,1977,0.5,0.1,0.0,0.0,0.4,0.0
2,1978,0.38461538461538464,0.15384615384615385,0.0,0.0,0.3076923076923077,0.15384615384615385
3,1979,1.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.7692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693
5,1981,0.875,0.125,0.0,0.0,0.0,0.0
6,1982,0.75,0.25,0.0,0.0,0.0,0.0
7,1983,1.0,0.0,0.0,0.0,0.0,0.0
8,1984,0.85,0.1,0.0,0.0,0.05,0.0
9,1985,0.7692307692307693,0.0,0.0,0.0,0.23076923076923078,0.0
10,1986,0.7142857142857143,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142
11,1987,0.8,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0
12,1988,0.7777777777777778,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0
13,1989,0.6666666666666666,0.1111111111111111,0.05555555555555555,0.0,0.1388888888888889,0.027777777777777776
14,1990,0.6744186046511628,0.09302325581395349,0.06976744186046512,0.0,0.16279069767441862,0.0
15,1991,0.7083333333333334,0.10416666666666667,0.020833333333333332,0.0,0.125,0.041666666666666664
16,1992,0.6341463414634146,0.17073170731707318,0.024390243902439025,0.0,0.17073170731707318,0.0
17,1993,0.7551020408163265,0.14285714285714285,0.0,0.0,0.08163265306122448,0.02040816326530612
18,1994,0.6349206349206349,0.19047619047619047,0.015873015873015872,0.0,0.14285714285714285,0.015873015873015872
19,1995,0.6190476190476191,0.23809523809523808,0.0,0.0,0.12698412698412698,0.015873015873015872
20,1996,0.676923076923077,0.18461538461538463,0.03076923076923077,0.0,0.06153846153846154,0.046153846153846156
21,1997,0.5581395348837209,0.24031007751937986,0.0,0.0,0.18604651162790697,0.015503875968992248
22,1998,0.5271739130434783,0.23369565217391305,0.05434782608695652,0.0,0.15217391304347827,0.03260869565217391
23,1999,0.5738636363636364,0.2159090909090909,0.03977272727272727,0.0,0.14204545454545456,0.028409090909090908
24,2000,0.5440414507772021,0.24870466321243523,0.04145077720207254,0.0,0.13989637305699482,0.025906735751295335
25,2001,0.5,0.2642857142857143,0.05714285714285714,0.0,0.14285714285714285,0.03571428571428571
26,2002,0.49814126394052044,0.2862453531598513,0.02973977695167286,0.0,0.13382899628252787,0.05204460966542751
27,2003,0.4981949458483754,0.2490974729241877,0.061371841155234655,0.0,0.15162454873646208,0.039711191335740074
28,2004,0.4846938775510204,0.2857142857142857,0.061224489795918366,0.0,0.11734693877551021,0.05102040816326531
29,2005,0.48717948717948717,0.2692307692307692,0.05128205128205128,0.0,0.1581196581196581,0.03418803418803419
30,2006,0.490625,0.253125,0.065625,0.003125,0.11875,0.06875
31,2007,0.4534412955465587,0.27125506072874495,0.044534412955465584,0.004048582995951417,0.1659919028340081,0.06072874493927125
32,2008,0.49489795918367346,0.29591836734693877,0.05612244897959184,0.00510204081632653,0.10204081632653061,0.04591836734693878
33,2009,0.4224137931034483,0.29310344827586204,0.04310344827586207,0.0,0.1925287356321839,0.04885057471264368
34,2010,0.4355716878402904,0.2776769509981851,0.06533575317604355,0.0018148820326678765,0.19782214156079855,0.021778584392014518
35,2011,0.45790251107828656,0.2880354505169867,0.056129985228951254,0.0029542097488921715,0.16838995568685378,0.026587887740029542
36,2012,0.4613526570048309,0.2753623188405797,0.057971014492753624,0.0036231884057971015,0.16183574879227053,0.03985507246376811
37,2013,0.43132108486439197,0.2773403324584427,0.0673665791776028,0.0017497812773403325,0.18022747156605423,0.04199475065616798
38,2014,0.43068535825545173,0.278816199376947,0.07710280373831775,0.0,0.15109034267912771,0.06230529595015576
39,2015,0.4371205550737207,0.2862098872506505,0.06504770164787511,0.0026019080659150044,0.15784908933217692,0.05117085862966175
40,2016,0.4273301737756714,0.2914691943127962,0.06951026856240126,0.004739336492890996,0.1500789889415482,0.05687203791469194
41,2017,0.4384432088959492,0.2835583796664019,0.0698967434471803,0.0015885623510722795,0.15647339158061954,0.05003971405877681
42,2018,0.4441366574330563,0.2871652816251154,0.06463527239150507,0.0009233610341643582,0.16528162511542013,0.03785780240073869
43,2019,0.41855807743658213,0.2823765020026702,0.0794392523364486,0.004005340453938585,0.16088117489986647,0.05473965287049399
44,2020,0.42515379357484623,0.2836637047163363,0.07245386192754613,0.001367053998632946,0.16883116883116883,0.048530416951469584
45,2021,0.4072966507177033,0.27631578947368424,0.09270334928229665,0.0023923444976076554,0.16447368421052633,0.056818181818181816
