,year,titanium,nickel titanium alloy,copper,aluminum,nickel,polycaprolactone,alginate,chitosan,hydroxyapatite
0,1976,0.36363636363636365,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0
1,1977,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2,1978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
5,1981,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
6,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,1983,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8,1984,0.3333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333
9,1985,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
10,1986,0.6,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2
11,1987,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375
12,1988,0.4444444444444444,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222
13,1989,0.5454545454545454,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.36363636363636365
14,1990,0.47058823529411764,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413
15,1991,0.5625,0.0,0.0,0.15625,0.0625,0.0,0.03125,0.0,0.1875
16,1992,0.4594594594594595,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.08108108108108109,0.0,0.05405405405405406,0.05405405405405406,0.21621621621621623
17,1993,0.53125,0.0,0.03125,0.09375,0.0,0.0,0.0625,0.0,0.28125
18,1994,0.46153846153846156,0.0,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.0,0.02564102564102564,0.0,0.358974358974359
19,1995,0.4888888888888889,0.0,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.044444444444444446,0.26666666666666666
20,1996,0.46808510638297873,0.0,0.0,0.10638297872340426,0.0425531914893617,0.02127659574468085,0.0851063829787234,0.02127659574468085,0.2553191489361702
21,1997,0.3655913978494624,0.0,0.021505376344086023,0.08602150537634409,0.053763440860215055,0.10752688172043011,0.06451612903225806,0.021505376344086023,0.27956989247311825
22,1998,0.38738738738738737,0.009009009009009009,0.036036036036036036,0.08108108108108109,0.036036036036036036,0.04504504504504504,0.04504504504504504,0.036036036036036036,0.32432432432432434
23,1999,0.45161290322580644,0.008064516129032258,0.016129032258064516,0.08064516129032258,0.024193548387096774,0.056451612903225805,0.07258064516129033,0.03225806451612903,0.25806451612903225
24,2000,0.3825503355704698,0.0,0.026845637583892617,0.12751677852348994,0.053691275167785234,0.04697986577181208,0.09395973154362416,0.013422818791946308,0.2550335570469799
25,2001,0.37962962962962965,0.0,0.027777777777777776,0.1388888888888889,0.05555555555555555,0.05092592592592592,0.08333333333333333,0.037037037037037035,0.22685185185185186
26,2002,0.31004366812227074,0.004366812227074236,0.06550218340611354,0.11790393013100436,0.07423580786026202,0.07423580786026202,0.08296943231441048,0.039301310043668124,0.2314410480349345
27,2003,0.3407079646017699,0.004424778761061947,0.05752212389380531,0.1592920353982301,0.05309734513274336,0.035398230088495575,0.07964601769911504,0.05309734513274336,0.2168141592920354
28,2004,0.27976190476190477,0.0,0.10119047619047619,0.14285714285714285,0.06547619047619048,0.02976190476190476,0.08928571428571429,0.06547619047619048,0.2261904761904762
29,2005,0.30726256983240224,0.0,0.0223463687150838,0.1005586592178771,0.03910614525139665,0.0446927374301676,0.15083798882681565,0.0893854748603352,0.24581005586592178
30,2006,0.3107142857142857,0.0035714285714285713,0.05,0.14642857142857144,0.039285714285714285,0.04285714285714286,0.1,0.06785714285714285,0.2392857142857143
31,2007,0.30569948186528495,0.010362694300518135,0.06735751295336788,0.11917098445595854,0.05699481865284974,0.031088082901554404,0.07772020725388601,0.08290155440414508,0.24870466321243523
32,2008,0.24675324675324675,0.012987012987012988,0.05194805194805195,0.12337662337662338,0.08441558441558442,0.025974025974025976,0.12337662337662338,0.07142857142857142,0.2597402597402597
33,2009,0.2809364548494983,0.020066889632107024,0.07357859531772576,0.14381270903010032,0.07692307692307693,0.05016722408026756,0.07357859531772576,0.06354515050167224,0.21739130434782608
34,2010,0.27213822894168466,0.019438444924406047,0.04103671706263499,0.13390928725701945,0.09935205183585313,0.06479481641468683,0.06911447084233262,0.06263498920086392,0.23758099352051837
35,2011,0.28975265017667845,0.028268551236749116,0.06537102473498234,0.10424028268551237,0.08657243816254417,0.0636042402826855,0.08303886925795052,0.07420494699646643,0.2049469964664311
36,2012,0.30684931506849317,0.01780821917808219,0.04794520547945205,0.11506849315068493,0.0863013698630137,0.06986301369863014,0.0589041095890411,0.07671232876712329,0.22054794520547946
37,2013,0.2972972972972973,0.009009009009009009,0.06106106106106106,0.1031031031031031,0.06106106106106106,0.07207207207207207,0.08808808808808809,0.08508508508508508,0.22322322322322322
38,2014,0.252863436123348,0.006167400881057269,0.06431718061674009,0.11894273127753303,0.06784140969162995,0.08986784140969163,0.09251101321585903,0.0933920704845815,0.21409691629955946
