biological_process
proliferation
cell adhesion
gene expression
protein synthesis
protein assembly
protein disassembly
metabolism
taxis
migration
mechanoregulation
extracellular matrix production
ECM production
chemosynthesis
metastasis
apoptosis
necrosis
